序号,标题,内容,Title,Content
1,龙门,龙门横野断，驿树出城来。气色皇居近，金银佛寺开。往还时屡改，川水日悠哉。相阅征途上，生涯尽几回。,Longmen,"Longmen, sheared off, stretching across the wilds, 
post-road trees come out from the city walls.
From the look of it an imperial dwelling is near,
silver and gold, Buddhist temples appear.
The seasons have often changed as I passed back and forth, 
but the River's waters just keep going on.
I observe it on the road of my journey-
how often can this happen in a lifetime?"
2,重题郑氏东亭（在新安界）,华亭入翠微，秋日乱清晖。崩石欹山树，清涟曳水衣。紫鳞冲岸跃，苍隼护巢归。向晚寻征路，残云傍马飞。,Another on Zheng's Eastern Pavilion,"The splendid pavilion goes into azure mists,
the autumn sun's clear glow is thrown into disarray. 
A fallen rock leans against a mountain tree,
clear ripples pull sheets of algae.
Lavender scales vault, dashing against shore, 
a blue-gray hawk returns to guard its nest.
Towards evening I seek out the road I must travel
with tattered clouds flying by horse's flank."
3,奉寄河南韦尹丈人,甫敝庐在偃师，承韦公频有访问，故有下句。有客传河尹，逢人问孔融。青囊仍隐逸，章甫尚西东。鼎食分门户，词场继国风。尊荣瞻地绝，疏放忆途穷。浊酒寻陶令，丹砂访葛洪。江湖漂短褐，霜雪满飞蓬。牢落乾坤大，周流道术空。谬惭知蓟子，真怯笑扬雄。盘错神明惧，讴歌德义丰。尸乡余土室，难说祝鸡翁。,"Respectfully Sent to My Senior Wei [Ji], Metropolitan Governor in He'nan","A visitor told me that He'nan's governor
asks after Kong Rong when he meets someone.
""Does he still live aloof in reclusion with his green bag
or is he still going from one place to another with his zhangfu cap?"" 
Dining from cauldrons distinguishes his household's status,
in the field of letters he continues the ""Airs of the Domains."" 
I observe him in an inaccessible place of exalted glory,
while I, careless and rash, recall that man at a dead end. 
I seek out Magistrate Tao for thick ale,
for cinnabar pellets I visit Ge Hong.
My short homespun clothes are tossed on the lakes and rivers,
frost and snow fill my tangled locks.
Lonely in the vastness of Heaven and Earth,
I roam around, bereft of techniques of the Way. 
Unworthy to be taken as Jizi Xun,
I truly fear being laughed at like Yang Xiong.
The very gods fear how well you handle intricate problems, 
your virtue and sense of right abounds in popular songs.
An earthen chamber remains in Shixiang,
but one shouldn't tell of its Old Man who Called Chickens."
4,乐游园歌,乐游古园崒森爽，烟绵碧草萋萋长。公子华筵势最高，秦川对酒平如掌。长生木瓢示真率，更调鞍马狂欢赏。青春波浪芙蓉园，白日雷霆夹城仗。阊阖晴开昳荡荡，曲江翠幕排银榜。拂水低徊舞袖翻，缘云清切歌声上。却忆年年人醉时，只今未醉已先悲。数茎白发那抛得，百罚深杯亦不辞。圣朝亦知贱士丑，一物自荷皇天慈。此身饮罢无归处，独立苍茫自咏诗。,Song of Leyou Park,"The ancient park of Leyou rises up dense and fresh, 
emerald plants stretch on endlessly, growing tall and thick.
For the young gentlemen's splendid feast its position is highest of all, 
facing our ale are Qin's rivers, flat as the palm of a hand.
With ladles of long-life wood we show genuine forthright feelings; 
then further we joke over ""saddled horses,"" and engage in madcap pleasures.
With green spring waves and ripples is Lotus Park;
peals of thunder in daylight, the entourage in the Walled Passageway. 
Heaven's Gates open under clear skies, boundlessly vast,
azure tents by the Twisting River, silver placards in lines. 
Brushing waters, slowly lingering, dancing sleeves soar;
through the clouds, piercingly clear, the sound of singing rises.

I think back on the times that I was drunk year after year, 
nowadays before I get drunk I've already grown sad.
These several strands of hair turned white, how can I get rid of them?
a hundred forfeits of full cups, and still I don't refuse.4
I also know that in this sagely reign a low scholar is repulsive, 
when each single creature in its own right receives the grace of Sovereign Heaven.
Finished drinking, this body of mine has nowhere to go,
I stand alone in a vast expanse chanting a poem to myself."
5,曲江三章章五句（其二）,即事非今亦非古，长歌激越梢林莽，比屋豪华固难数。吾人甘作心似灰，弟侄何伤泪如雨。,Three Stanzas on the Twisting River (each stanza has five lines) II,"What lies before me is not the present nor is it the ancient past, 
my long songs swell up and away, grazing forest and wilds,
buildings roof to roof, splendor and power, indeed beyond reckoning.
As for one like me, I willingly let my heart be like ash, 
why should my nephew suffer with tears like rain for me?"
6,曲江三章章五句（其三）,自断此生休问天，杜曲幸有桑麻田，故将移住南山边。短衣匹马随李广，看射猛虎终残年。,Three Stanzas on the Twisting River (each stanza has five lines) III,"I have made my decision in this life to cease questioning Heaven's will, 
at Duqu I luckily have hemp and mulberry fields,
thus I will move to stay by the edge of South Mountain.
In short robes on a single horse I'll follow Li Guang
and watch him shoot the fierce tiger, living out my remaining years."
7,曲江三章章五句（其一）,曲江萧条秋气高，菱荷枯折随风涛，游子空嗟垂二毛。白石素沙亦相荡，哀鸿独叫求其曹。,Three Stanzas on the Twisting River (each stanza has five lines) I,"Dreary is Twisting River, the autumn air is high,
water-chestnuts and lotuses wither and snap with the wind-blown waves,
the traveler helplessly sighs at gray hair coming on. 
White rocks and pale sands are also swept along,
the mournful swan cries out alone, seeking its own kind."
8,遣兴,骥子好男儿，前年学语时。问知人客姓，诵得老夫诗。世乱怜渠小，家贫仰母慈。鹿门携不遂，雁足系难期。天地军麾满，山河战角悲。傥归免相失，见日敢辞迟。,Expressing What Has Stirred Me ,"Jizi is a fine boy,
last year was when he learned to speak.
He asked the names of our visitors
and was able to recite his old man's poems.
I pity his being so young in the turmoil of the times, 
the household poor, he looks to his mother's love.
I didn't succeed in taking him to Deergate,
and I can't expect something tied to a wild goose's foot.
Heaven and Earth are filled with army signal banners, 
among mountains and rivers battle bugles mourn.
If only I get back and don't lose him,
I wouldn't ever put off the day to see him."
9,月夜,今夜鄜州月，闺中只独看。遥怜小儿女，未解忆长安。香雾云鬟湿，清辉玉臂寒。何时倚虚幌，双照泪痕干。,Moonlit Night,"The moon tonight in Fuzhou
she alone watches from her chamber.
I am moved by my children far off there
who don't yet know to remember Chang'an. 
Fragrant fog, her coils of hair damp,
clear glow, her jade-white arms are cold. 
When will we lean at the empty window,
both shone upon, the tracks of our tears dried?"
10,春望,国破山河在，城春草木深。感时花溅泪，恨别鸟惊心。烽火连三月，家 书抵万金。白头搔更短，浑欲不胜簪。,View in Spring,"The state broken, its mountains and rivers remain, 
the city turns spring, deep with plants and trees. 
Stirred by the time, flowers, sprinkling tears,
hating parting, birds, alarm the heart. 
Beacon fires stretch through three months,
a letter from family worth ten thousand in silver. 
I've scratched my white hair even shorter,
pretty much to the point where it won't hold a hatpin."
11,得家书,去凭游客寄，来为附家书。今日知消息，他乡且旧居。熊儿幸无恙，骥子最怜渠。临老羁孤极，伤时会合疏。二毛趋帐殿，一命侍鸾舆。北阙妖氛满，西郊白露初。凉风新过雁，秋雨欲生鱼。农事空山里，眷言终荷锄。,Getting a Letter from Home,"I counted on a traveler to send one,
coming back, he was entrusted with a letter from home. 
Today I got the news,
that they are living there where they were before.
Luckily there is nothing wrong with Xiong'er, 
but Jizi is the one I dote on most.
Approaching old age, my loneliness in travel is extreme,
pained by these times, the chance to meet is remote. 
With graying hair I scurry in the tent palace, 
appointed, I attend on the phoenix-belled palanquin. 
The north palace towers are filled with demon vapors,
but on the western meadows the white dew begins. 
A cool wind, wild geese newly passing,
with autumn rains fish will be born. 
Farming in those deserted mountains -
in reflection on what has happened, at last I'll shoulder a hoe."
12,得舍弟消息,乱后谁归得，他乡胜故乡。直为心厄苦，久念与存亡。汝书犹在壁，汝妾已辞房。旧犬知愁恨，垂头傍我床。,Getting News of My Younger Brother ,"The wind blows the purple thorn-bush,
its colors darken with the spring yard in evening.
Its flowers fall, leaving the old branches,
the wind turns them, but they have no way to go back. 
This kind letter from my flesh and blood is valued,
we drift here and there, it's hard to meet. 
Still there are tears that form a river,
passing through the heavens, again pouring eastward."
